Number,Sequence
1,wwf
2,w
3,!!wwwwwf!wwf
4,
5,!!wwwwwf
6,!!wwwwwf!wwf!
7,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf
8,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf
9,!!wwwwwf!wf!wf!wwwwwwwwwwwf!wwwwwwwwwwf
10,!!wwwwwf!wf
11,!!wwwwwf!wwf!!!wwwwwwwwwwf!wwwwwf!wwwwwwwf!wwwwf
12,!!wwwf!wwwwwwwwwwf!wwwwwwwf!wwwwwwwwwwwf!wwwwwwwwf!wwwwwwf
13,!!wwwwwf!wwf!!!wwwwwwwwwf!wwwwwwwwwwwf!wwwwwwwwwwwwwwf
14,!!wwwf!wwwwwwwwwwwf
15,!!wwwf!wwwwwwwwwwf!wwwwwwwf!wwwwwwwwwwwwf
16,!!wwwwwf!wwf!!wf!wwwf!wwwwwwwwwwwf!wwwwwwwwwwwf
17,!!wwwwwf!!wwwwwwwf!wwwwwf
18,!!wwwwwf!!wwwwwwwf!wwwwf!wwwwwwwwwf
19,!!wwwwwf!wwf!!!wwwwwwwwwwf!wwwwwf!wwwwwwwf
20,!!wwwwwf!wwf!!wf!wwwwf!wwwwwf!wwwwwwf!wwwwf!wwwwf!wwwwwf!wwwwf
21,!!wwwwf!wwwwf!wwwwwwwf
22,!!wwwwwf!wwf!!wf!wwwwf!wwwwwf!wwwwwwf!wwwwf!wwwwf!wwwwwf
23,!!wwwwwf!wwf!!wf!wwwwf!wwwwwf!wwwwwwf
24,!
25,!!wwwwwf!wwf!!wf!wwwwf!wwwwwf!wwwwwwf!wwwwf
26,!!wwwwwf!wwf!!wf
27,!!wwwwwf!wwf!!!wwwwwwwwwwf!wwwwwf!wwwwwwf!wwwwwwwwf!wwwwwwwwwwf!wwwwwwwwwwf
28,!!wwwwwf!wf!wf!wwwwwwwwwwwf!wwwwwwwwwf!wwwwwf!wwwwwwwwwwwwwf!wwwwwwwf!wwwwwwwwwwwwwwwf
29,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wf!wwwwwwwwf
30,!!wwwwf
31,!!wwwwwf!wwf!!wf!wwwf!wwwwwwwwwwwwf
32,!!wwwwwf!wwf!!wf!wwwwf!wwwwwf!wwwwwwf!wwwwf!wwwwf!wwwwwf!wwwf!wwwwwwwwwf!wwwwwwf
33,!!wwwwwf!wwf!!!wwwwwwwwwwf!wwwwwf!wwwwwwf!wwwwwwwwwf
34,!!wwwwwf!!wwwwwwf!wwwwwwwwwwf!wwwwwwwwwwwwf
35,!!wwwwwf!!wwwwwwwf
36,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wf!wwwwwwf
37,!!wwwwwf!wwf!!wf!wwwwf!wwwwwf!wwwwwwf!wwwwf!wwwwf
38,!!wwwwwf!wwf!!wf!wwwwf!wwwwf!wwwwwwwwwwwwf!wwwwwwwwwwf!wwwwwwwwwwwwwf!wwwwwwwf!wwwwwwwf
39,!!wwwwwf!wwf!!!wwwwwwwwwf!wwwwwwwwwwwwf!wwwwwwf!wwwwwf!wwwwwwf
40,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wf!wwwwwwf!wwwwf!wwwwwwwwf!wwwwwwwwwwwwf
41,!!wwwf!wwwwwwwwwwf!wwwwwwwwf
42,!!wwwwwf!!wwwwwwwf!wwwwwf!wwwf!wwwwwf!wwwwwwwwwwf
43,!!wwwwwf!wf!wwf
44,!!wwwwwf!wf!wwf!wwwwwf
