Number,Sequence
1,wwf
2,w
3,!!wwwwwf!wwf
4,
5,!!wwwwwf
6,!!wwwwwf!wwf!
7,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf
8,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf
9,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wf!wwwwwwwwf!wwwwwf
10,!!wwwwwf!wf
11,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wf!wwwwwwf!wwwwwf!wwwwf
12,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wwf!wwwf!wwwwf!wwwwf!wwwwwf!wwwwf!wwwf!wwwwwwwwf!wwwwf!wwwwwf!wwwwwwwwf!wwwwwf!wwwwwf!wwwwf!wwwwwwf!wwwwwf!wwwf!wwwwwf
13,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wwf!wwwf!wwwwf!wwwwf!wwwwwf!wwwwf!wwwf!wwwwwwwwf!wwwwf!wwwwwf!wwwwwwwwf!wwwwwf!wwwwwf!wwwwf!wwwwwwf!wwwwwf!wwwf!wwwwf!wwwwwwwwf
14,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wwf
15,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wwf!wwwf!wwwwf!wwwwf!wwwwwf!wwwwf!wwwf!wwwwwwwwf!wwwwf!wwwwwf!wwwwwwwwf!wwwwwf!wwwwwf!wwwwf!wwwwwwf!wwwwwf
16,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wwf!wwwf!wwwwf!wwwwf!wwwwwf!wwwwf!wwwf!wwwwwwwwf!wwwwf!wwwwwf!wwwwwwwwf!wwwwwf!wwwwwf!wwwwf!wwwwwwf!wwwwwf!wwwf!wwwwf!wwwwwwwwf!wwwf
17,!!wwwwwf!!wwwwwwwf!wwwwwf
18,!!wwwwwf!!wwwwwwwf!wwwwf!wwwwwwwwwf
19,!!wwwwwf!wf!wwf!wwwwwf!wwwwwf!wwwwwf!wwwwwwwf
20,!!wwwwwf!wf!wf!wwwwwwwwwwwf!wwwwwwwwf!wwwwwwwwwwwwwf!wwwwwwwwwwf
21,!!wwwwf!wwwwf!wwwwwwwf
22,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wwf!wwwf!wwwwf!wwwwf!wwwwwf
23,!!wwwwwf!wwf!!wf!wwwwf!wwwwwf!wwwwwwf
24,!
25,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wwf!wwwf!wwwwf
26,!!wwwwwf!wwf!!wf
27,!!wwwwwf!wf!wwf!wwwwwf!wwwwwf!wwwwwf!wwwwwwf!wwwwwwwwf!wwwwwwwwwwf!wwwwwwwwwwf
28,!!wwwwwf!wf!wf!wwwwwwwwwwwf!wwwwwwwwwf!wwwwwf!wwwwwwwwwwwwwf!wwwwwwwf!wwwwwwwwwwwwwwwf
29,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wf!wwwwwwwwf
30,!!wwwwf
31,!!wwwwwf!wwf!!wf!wwwf!wwwwwwwwwwwwf
32,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wwf!wwwf!wwwwf!wwwwf!wwwwwf!wwwf!wwwwwwwwwf!wwwwwwf
33,!!wwwwwf!wf!wwf!wwwwwf!wwwwwf!wwwwwf!wwwwwwf!wwwwwwwwwf
34,!!wwwwwf!!wwwwwwf!wwwwwwwwwwf!wwwwwwwwwwwwf
35,!!wwwwwf!!wwwwwwwf
