Number,Sequence
1,4wwf
2,4wf
3,120wwf
4,
5,720wwf
6,6
7,10888869450418352160768000000wwwwwf
8,5040wwf
9,6402373705728000wwwwf
10,120wf
11,121645100408832000wwwwf
12,479001600wwwf
13,230843697339241380472092742683027581083278564571807941132288000000000000wwwwwwf
14,40320wwf
15,295232799039604140847618609643520000000wwwwwf
16,6227020800wwwf
17,51090942171709440000wwwwf
18,6507628432358467614284900912808464867246935772598002786741973845371750723403030508722143932785651973272686701222354175926857472307605536106194568152485361041430893510136899668139226519762140641394083925901586154316946059444177837298555225240907381753221349215819852242455313119258224629541209823694273154479121683496926074271291276315361009537026821665849571884523683646811023727843235513176321148729064867910013746830468939957977042112271941248519537515099839369633291648221190391636862309740002374266148220882599910187808995182727950779302692727664806169476143746363739340800000000000000000000000000000000000000000000000000000000000000000000000000000wwwwwwwwwf
19,371993326789901217467999448150835200000000wwwwwf
20,1124000727777607680000wwwwf
21,114628056373470835453434738414834942870388487424139673389282723476762012382449946252660360871841673476016298287096435143747350528228224302506311680000000000000000000000000wwwwwwwf
22,13763753091226345046315979581580902400000000wwwwwf
23,87178291200wwwf
24,24
25,25852016738884976640000wwwwf
26,720wf
27,19815524305648002601818171204326257846611456725808373449616646563928629396065410626138298593265945324225558093942704493222553838950820027765375040827960551033001579328411138624055200727234232302046524227142061137986535960488148111891395081467526982493475408477527124840709196781511817187496273890924527108598562553359394406400000000000000000000000000000000000000000000000wwwwwwwwf
28,20397882081197443358640281739902897356800000000wwwwwf
29,788657867364790503552363213932185062295135977687173263294742533244359449963403342920304284011984623904177212138919638830257642790242637105061926624952829931113462857270763317237396988943922445621451664240254033291864131227428294853277524242407573903240321257405579568660226031904170324062351700858796178922222789623703897374720000000000000000000000000000000000000000000000000wwwwwwwwf
30,620448401733239439360000wwwwf
31,3969937160808720895401959629498630647790406360168322301129748464310422041758630649341780708631240196854767624444057168110272995649603642560353748940315749184568295424000000000000000000000000000wwwwwwwf
32,1307674368000wwwf
