Number,Sequence
1,4wwf
2,4wf
3,120wwf
4,
5,720wwf
6,6
7,10888869450418352160768000000wwwwwf
8,5040wwf
9,6402373705728000wwwwf
10,120wf
11,121645100408832000wwwwf
12,479001600wwwf
13,230843697339241380472092742683027581083278564571807941132288000000000000wwwwwwf
14,40320wwf
15,295232799039604140847618609643520000000wwwwwf
16,6227020800wwwf
17,51090942171709440000wwwwf
18,961446671503512660926865558697259548455355905059659464369444714048531715130254590603314961882364451384985595980362059157503710042865532928000000000000000000000000wwwwwwwf
19,371993326789901217467999448150835200000000wwwwwf
20,1124000727777607680000wwwwf
21,31469973260387937525653122354950764088012280797258232192163168247821107200000000000000wwwwwwf
22,13763753091226345046315979581580902400000000wwwwwf
23,87178291200wwwf
24,24
25,25852016738884976640000wwwwf
26,720wf
27,22311927486598136465966070212187151182564399087952213171022161345724023063584214692821047352118139068425569179220877461124773845924561575264739138192463311667200000000000000000000000000wwwwwwwf
28,20397882081197443358640281739902897356800000000wwwwwf
29,292509369349301569068815180481773552003419272043053514672100535242441942363589054622883930786268803187059211939585703515345785120071002251720730101703194015956992000000000000000000000000000wwwwwwwf
30,620448401733239439360000wwwwf
31,815915283247897734345611269596115894272000000000wwwwwf
32,1307674368000wwwf
33,468452584975429065657431236280838416439267950499862031533310318788629800927518416622330123618486343228862579684398745837012213486653229822121742374957258403779058860032000000000000000000000000000wwwwwwwf
34,171122452428141311372468338881272839092270544893520369393648040923257279754140647424000000000000000wwwwwwf
35,33452526613163807108170062053440751665152000000000wwwwwf
36,11978571669969891796072783721689098736458938142546425857555362864628009582789845319680000000000000000wwwwwwf
37,15511210043330985984000000wwwwf
38,98750442008336013624115798714482080125644041369783596059584700502676714572050143649033796427745042294071023050579626404736512939596842694895821378210620013388054747214795243520000000000000000000000000000wwwwwwwf
39,1405006117752879898543142606244511569936384000000000wwwwwf
40,12146304367025329675766243241881295855454217088483382315328918161829235892362167668831156960612640202170735835221294047782591091570411651472186029519906261646730733907419814952960000000000000000000000000000wwwwwwwf
