Number,Sequence
1,wwf
2,w
3,!!wwwwwf!wwf
4,
5,!!wwwwwf
6,!!wwwwwf!wwf!
7,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf
8,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf
9,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wf!wwwwwwwwwf!wwwwwf
10,!!wwwwwf!wf
11,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wf!wwwwwwf!wwwwwf!wwwwf
12,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wwf!wwwf!wwwwf!wwwwf!wwwwwf!wwwwf!wwwf!wwwwwwwwwf!wwwwf!wwwwwf!wwwwwwwwwf!wwwwwf!wwwwwf!wwwwf!wwwwwwf!wwwwwf!wwwf!wwwwwf
13,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wwf!wwwf!wwwwf!wwwwf!wwwwwf!wwwwf!wwwf!wwwwwwwwwf!wwwwf!wwwwwf!wwwwwwwwwf!wwwwwf!wwwwwf!wwwwf!wwwwwwf!wwwwwf!wwwf!wwwwf!wwwwwwwwf
14,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wwf
15,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wwf!wwwf!wwwwf!wwwwf!wwwwwf!wwwwf!wwwf!wwwwwwwwwf!wwwwf!wwwwwf!wwwwwwwwwf!wwwwwf!wwwwwf!wwwwf!wwwwwwf!wwwwwf
16,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wwf!wwwf!wwwwf!wwwwf!wwwwwf!wwwwf!wwwf!wwwwwwwwwf!wwwwf!wwwwwf!wwwwwwwwwf!wwwwwf!wwwwwf!wwwwf!wwwwwwf!wwwwwf!wwwf!wwwwf!wwwwwwwwf!wwwf
17,!!wwwwf!wwwwf!wwwwwwwf!wwwwf
18,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wf!wwwwwwwwwf!wwwwf!wwwwwwf!wwwwwwf!wwwwwwwwwwf
19,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wf!wwwwwwf!wwwwwf
20,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wwf!wwwf!wwwwf!wwwwf!wwwwwf!wwwwf
21,!!wwwwf!wwwwf!wwwwwwwf
22,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wwf!wwwf!wwwwf!wwwwf!wwwwwf
23,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wwf!wwwf
24,!
25,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wwf!wwwf!wwwwf
26,!!wwwwwf!wwf!!wf
27,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wwf!wwwf!wwwwf!wwwwf!wwwwwf!wwwwf!wwwf!wwwwwwwwwf
28,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wwf!wwwf!wwwwf!wwwwf!wwwwwf!wwwwf!wwwf!wwwwwwwwwf!wwwwf!wwwwwf!wwwwwwwwwf!wwwwwf!wwwwwf
29,!!wwwwwf!wf!wwf!wwwwwf!wwwwwwf!wwf!wf!wwwwwwwwwf
30,!!wwwwf
31,!!wwwwwf!wf!wwf!wwwwwf!wwwwwf!wwwwwf!wwwwwwf!wwwwwwwwwwf!wwwwf!wwwwwwwwwf
